日期,地区,销售额,客群,观测值
2026-01,S,23.71, a ,14.17
2026-02,N,53.84,B,28.52
2026-03,S,,B,17.83
2026-04,N,71.63, a ,45.31
bad-date,S,85.51,B,52.47
2026-06,N,25.84,B,19.04
2026-01,S,54.76, a ,31.79
2026-02,N,68.47,B,38.13
2026-03,S,197,B,15.62
2026-04,N,64.44, a ,37.9
2026-05,S,34.78,B,23.44
2026-06,N,74.57,B,47.43
2026-01,S,56.38, a ,30.25
2026-02,N,46.25,B,31.43
2026-03,S,37.3,B,22.11
2026-04,N,50.72, a ,32.69
2026-05,S,88.36,B,54.6
2026-06,N,46.2,B,24.31
2026-01,S,41.4, a ,26.52
2026-02,N,63.35,B,37.18
2026-01,S,23.71, a ,14.17
