period,region,amount,segment,signal
2026-01,S,74.28, a ,41.27
2026-02,N,15.76,B,8.75
2026-03,S,,B,51.07
2026-04,N,39.55, a ,21.73
bad-date,S,84.59,B,50.33
2026-06,N,13.06,B,5.74
2026-01,S,64.32, a ,35.24
2026-02,N,23.06,B,11.79
2026-03,S,184,B,13.54
2026-04,N,85.46, a ,54.56
2026-05,S,12.3,B,10.4
2026-06,N,89.8,B,56.77
2026-01,S,40.91, a ,25.66
2026-02,N,29.25,B,20.19
2026-03,S,17.95,B,11.91
2026-04,N,83.79, a ,50.15
2026-05,S,18.37,B,8.97
2026-06,N,22.02,B,14.45
2026-01,S,56.82, a ,32.71
2026-01,S,74.28, a ,41.27
