月份,区域,收入,渠道,指标
2026-01,W,61.43, a ,37.98
2026-02,E,44.14,A,25.53
2026-03,W,,B,0.64
2026-04,E,42.92,B,24.23
2026-05,W,41.34, a ,27.34
invalid-date,E,31.62,A,14.89
2026-07,W,23.71,B,7.6
2026-01,E,92.84,B,48.21
2026-02,W,28.05, a ,12.09
2026-03,E,184,A,40.64
2026-04,W,36.72,B,18.95
2026-05,E,76.04,B,48.78
2026-06,W,32.45, a ,13.34
2026-07,E,20.12,A,16.19
2026-01,W,81.18,B,41.27
2026-02,E,34.47,B,18.97
2026-03,W,64.96, a ,35.33
2026-04,E,44.45,A,24.14
2026-05,W,50.21,B,24.19
2026-06,E,74.86,B,41.15
2026-07,W,67.01, a ,39.81
2026-01,E,57.6,A,30.64
2026-02,W,43.49,B,28.23
2026-03,E,82.89,B,52.32
2026-01,W,61.43, a ,37.98
2026-02,E,44.14, a ,25.53
