日期,地区,销售额,客群,观测值
2026-01,W,11.69, a ,12.53
2026-02,E,32.92,A,11.38
2026-03,W,,B,45.68
2026-04,E,38.34,B,23.73
2026-05,W,58.14, a ,37.18
invalid-date,E,63.14,A,33.68
2026-07,W,83.68,B,47.58
2026-01,E,70.89,B,40.98
2026-02,W,30.93, a ,21.94
2026-03,E,178,A,27.75
2026-04,W,20.94,B,8.76
2026-05,E,8.82,B,7.67
2026-06,W,36.51, a ,16.12
2026-07,E,50.67,A,32.14
2026-01,W,62.26,B,40.36
2026-02,E,75.69,B,37.83
2026-03,W,84.98, a ,50.29
2026-04,E,82.25,A,43.29
2026-05,W,42.16,B,17.53
2026-06,E,79.21,B,41.03
2026-07,W,28.73, a ,10.11
2026-01,E,55.13,A,34.81
2026-02,W,45.61,B,22.22
2026-01,W,11.69, a ,12.53
2026-02,E,32.92, a ,11.38
