when,zone,net_value,class_name,measure
2026-01,W,36.09, a ,22.62
2026-02,E,47.3,A,28.03
2026-03,W,,B,31.39
2026-04,E,39.81,B,25.47
2026-05,W,49.3, a ,27.77
invalid-date,E,53.21,A,32.64
2026-07,W,40.82,B,16.03
2026-01,E,68.99,B,32.18
2026-02,W,54.29, a ,24.27
2026-03,E,167,A,40.77
2026-04,W,76.78,B,41.57
2026-05,E,17.04,B,12.25
2026-06,W,30.78, a ,9.94
2026-07,E,58.09,A,27.29
2026-01,W,9.16,B,5.97
2026-02,E,36.58,B,14.18
2026-03,W,60.35, a ,31.68
2026-04,E,93.29,A,50.37
2026-05,W,17.17,B,5.99
2026-06,E,53.56,B,23.12
2026-07,W,73.34, a ,37.84
2026-01,E,19.84,A,13.82
2026-01,W,36.09, a ,22.62
2026-02,E,47.3, a ,28.03
