月份,区域,收入,渠道,指标
2026-01,W,65.58, a ,35.68
2026-02,E,81.92,A,48.07
2026-03,W,,B,49.99
2026-04,E,63.84,B,34.92
2026-05,W,60.08, a ,30.25
invalid-date,E,56.19,A,30.89
2026-07,W,87.69,B,43.59
2026-01,E,76.81,B,38.96
2026-02,W,87.91, a ,44.48
2026-03,E,176,A,21.11
2026-04,W,81.82,B,42.83
2026-05,E,19.09,B,14.55
2026-06,W,12.0, a ,12.11
2026-07,E,46.79,A,23.11
2026-01,W,43.51,B,23.17
2026-02,E,93.28,B,58.17
2026-03,W,19.98, a ,9.69
2026-04,E,50.58,A,26.72
2026-05,W,50.73,B,31.65
2026-06,E,20.1,B,15.72
2026-07,W,84.4, a ,50.99
2026-01,W,65.58, a ,35.68
2026-02,E,81.92, a ,48.07
