月份,区域,收入,渠道,指标
2026-01,W,39.03, a ,20.85
2026-02,E,53.01,A,29.86
2026-03,W,,B,20.78
2026-04,E,90.41,B,50.2
2026-05,W,51.88, a ,33.56
invalid-date,E,87.86,A,50.37
2026-07,W,43.32,B,22.32
2026-01,E,40.43,B,27.32
2026-02,W,40.93, a ,18.72
2026-03,E,180,A,34.21
2026-04,W,91.23,B,54.49
2026-05,E,79.03,B,40.21
2026-06,W,84.71, a ,44.77
2026-07,E,75.91,A,48.5
2026-01,W,30.13,B,20.03
2026-02,E,43.86,B,18.77
2026-03,W,28.92, a ,15.05
2026-04,E,74.56,A,38.73
2026-05,W,47.27,B,23.06
2026-06,E,91.18,B,56.22
2026-01,W,39.03, a ,20.85
2026-02,E,53.01, a ,29.86
