period,region,amount,segment,signal
2026-01,W,28.58, a ,17.9
2026-02,E,67.28,A,40.17
2026-03,W,,B,36.06
2026-04,E,38.72,B,19.15
2026-05,W,81.84, a ,38.7
invalid-date,E,84.39,A,49.58
2026-07,W,47.51,B,23.47
2026-01,E,58.72,B,35.16
2026-02,W,8.45, a ,2.68
2026-03,E,177,A,32.38
2026-04,W,9.7,B,9.15
2026-05,E,19.73,B,17.15
2026-06,W,67.01, a ,40.1
2026-07,E,83.3,A,46.21
2026-01,W,67.83,B,42.21
2026-02,E,10.17,B,0.89
2026-03,W,91.44, a ,50.47
2026-04,E,39.76,A,26.61
2026-05,W,59.84,B,32.63
2026-06,E,42.69,B,19.33
2026-07,W,40.75, a ,15.5
2026-01,E,62.69,A,37.74
2026-01,W,28.58, a ,17.9
2026-02,E,67.28, a ,40.17
