月份,区域,收入,渠道,指标
2026-01,W,75.19, a ,43.95
2026-02,E,41.13,A,24.61
2026-03,W,,B,27.38
2026-04,E,66.98,B,31.24
2026-05,W,72.67, a ,39.7
invalid-date,E,75.25,A,37.94
2026-07,W,12.13,B,8.09
2026-01,E,78.57,B,37.25
2026-02,W,38.73, a ,16.82
2026-03,E,168,A,47.37
2026-04,W,17.47,B,7.47
2026-05,E,72.76,B,35.14
2026-06,W,70.19, a ,34.09
2026-07,E,73.88,A,35.91
2026-01,W,42.07,B,20.88
2026-02,E,86.59,B,45.98
2026-03,W,12.01, a ,9.07
2026-04,E,16.31,A,5.8
2026-05,W,93.08,B,52.59
2026-06,E,19.71,B,13.51
2026-07,W,14.07, a ,5.02
2026-01,E,46.45,A,28.87
2026-02,W,67.1,B,34.37
2026-01,W,75.19, a ,43.95
2026-02,E,41.13, a ,24.61
