period,region,amount,segment,signal
2026-01,W,48.36, a ,26.27
2026-02,E,32.54,A,22.02
2026-03,W,,B,45.09
2026-04,E,41.57,B,21.62
2026-05,W,76.19, a ,37.6
invalid-date,E,77.69,A,38.64
2026-07,W,21.95,B,9.65
2026-01,E,17.64,B,6.69
2026-02,W,12.61, a ,8.95
2026-03,E,169,A,22.36
2026-04,W,59.2,B,28.85
2026-05,E,82.26,B,38.26
2026-06,W,22.86, a ,16.97
2026-07,E,82.84,A,52.22
2026-01,W,49.24,B,24.87
2026-02,E,69.03,B,30.97
2026-03,W,38.71, a ,22.61
2026-04,E,37.86,A,14.2
2026-05,W,44.17,B,21.51
2026-06,E,24.29,B,9.8
2026-07,W,60.06, a ,37.76
2026-01,E,61.11,A,26.7
2026-02,W,27.97,B,22.18
2026-03,E,48.32,B,21.45
2026-01,W,48.36, a ,26.27
2026-02,E,32.54, a ,22.02
