when,zone,net_value,class_name,measure
2026-01,W,21.66, a ,6.02
2026-02,E,89.45,A,53.85
2026-03,W,,B,39.06
2026-04,E,27.41,B,18.23
2026-05,W,32.0, a ,23.13
invalid-date,E,29.15,A,19.56
2026-07,W,34.2,B,15.16
2026-01,E,88.15,B,53.46
2026-02,W,14.82, a ,13.44
2026-03,E,171,A,-0.54
2026-04,W,13.91,B,6.08
2026-05,E,84.7,B,42.85
2026-06,W,32.26, a ,11.92
2026-07,E,44.48,A,21.26
2026-01,W,89.01,B,54.29
2026-02,E,16.5,B,13.12
2026-03,W,18.26, a ,15.43
2026-04,E,75.54,A,39.45
2026-05,W,41.38,B,17.95
2026-06,E,66.22,B,31.93
2026-07,W,15.39, a ,4.64
2026-01,W,21.66, a ,6.02
2026-02,E,89.45, a ,53.85
