日期,地区,销售额,客群,观测值
2026-01,W,8.11, a ,1.94
2026-02,E,45.98,A,28.23
2026-03,W,,B,34.62
2026-04,E,69.59,B,37.84
2026-05,W,13.49, a ,4.61
invalid-date,E,77.11,A,46.81
2026-07,W,93.64,B,52.29
2026-01,E,87.71,B,53.37
2026-02,W,66.97, a ,31.7
2026-03,E,166,A,37.99
2026-04,W,53.09,B,26.49
2026-05,E,60.7,B,35.08
2026-06,W,19.89, a ,15.43
2026-07,E,82.45,A,47.59
2026-01,W,42.55,B,16.47
2026-02,E,39.95,B,16.79
2026-03,W,59.64, a ,32.04
2026-04,E,34.27,A,20.97
2026-05,W,10.18,B,9.33
2026-06,E,49.53,B,25.64
2026-07,W,33.76, a ,21.13
2026-01,W,8.11, a ,1.94
2026-02,E,45.98, a ,28.23
