period,region,amount,segment,signal
2026-01,W,47.81, a ,23.0
2026-02,E,39.34,A,23.2
2026-03,W,,B,50.46
2026-04,E,33.76,B,19.47
2026-05,W,53.56, a ,26.51
invalid-date,E,66.81,A,33.52
2026-07,W,32.58,B,17.7
2026-01,E,43.58,B,19.92
2026-02,W,11.87, a ,12.36
2026-03,E,173,A,30.71
2026-04,W,79.81,B,44.62
2026-05,E,68.09,B,38.17
2026-06,W,37.56, a ,16.93
2026-07,E,10.32,A,0.93
2026-01,W,82.2,B,41.39
2026-02,E,62.96,B,28.26
2026-03,W,86.5, a ,48.13
2026-04,E,89.96,A,56.22
2026-05,W,45.4,B,21.45
2026-06,E,78.18,B,40.84
2026-07,W,76.61, a ,39.44
2026-01,E,41.14,A,15.9
2026-02,W,47.59,B,23.02
2026-01,W,47.81, a ,23.0
2026-02,E,39.34, a ,23.2
