when,zone,net_value,class_name,measure
2026-01,W,36.89, a ,19.49
2026-02,E,89.19,A,44.12
2026-03,W,,B,13.99
2026-04,E,13.22,B,5.95
2026-05,W,37.77, a ,24.92
invalid-date,E,48.57,A,33.01
2026-07,W,37.41,B,15.21
2026-01,E,74.17,B,35.35
2026-02,W,87.28, a ,44.46
2026-03,E,179,A,52.86
2026-04,W,36.0,B,18.53
2026-05,E,17.87,B,2.92
2026-06,W,62.66, a ,32.74
2026-07,E,71.31,A,46.18
2026-01,W,43.11,B,29.7
2026-02,E,63.84,B,30.29
2026-03,W,27.11, a ,10.94
2026-04,E,50.31,A,34.16
2026-05,W,39.2,B,23.76
2026-06,E,59.85,B,28.43
2026-07,W,68.35, a ,41.13
2026-01,E,82.93,A,50.53
2026-02,W,61.15,B,33.84
2026-03,E,67.3,B,34.52
2026-01,W,36.89, a ,19.49
2026-02,E,89.19, a ,44.12
