日期,地区,销售额,客群,观测值
2026-01,W,75.07, a ,46.18
2026-02,E,47.92,A,19.61
2026-03,W,,B,20.49
2026-04,E,28.57,B,16.6
2026-05,W,51.54, a ,35.15
invalid-date,E,56.65,A,29.99
2026-07,W,28.59,B,10.63
2026-01,E,29.19,B,21.44
2026-02,W,74.74, a ,36.9
2026-03,E,182,A,13.69
2026-04,W,70.34,B,35.82
2026-05,E,65.64,B,30.44
2026-06,W,38.1, a ,16.81
2026-07,E,58.69,A,36.69
2026-01,W,86.23,B,49.3
2026-02,E,86.19,B,48.46
2026-03,W,23.47, a ,12.65
2026-04,E,60.81,A,32.47
2026-05,W,34.68,B,18.19
2026-06,E,73.58,B,40.33
2026-07,W,23.04, a ,11.05
2026-01,E,22.09,A,8.41
2026-01,W,75.07, a ,46.18
2026-02,E,47.92, a ,19.61
