period,region,amount,segment,signal
2026-01,W,25.2, a ,16.43
2026-02,E,67.95,A,36.97
2026-03,W,,B,5.72
2026-04,E,18.36,B,7.85
2026-05,W,28.12, a ,18.5
invalid-date,E,11.56,A,8.79
2026-07,W,29.39,B,12.48
2026-01,E,21.55,B,5.84
2026-02,W,46.64, a ,21.12
2026-03,E,181,A,34.15
2026-04,W,52.71,B,33.64
2026-05,E,83.13,B,50.35
2026-06,W,59.01, a ,36.57
2026-07,E,20.0,A,15.95
2026-01,W,21.32,B,15.88
2026-02,E,40.79,B,24.76
2026-03,W,69.1, a ,32.74
2026-04,E,69.88,A,44.44
2026-05,W,63.69,B,28.09
2026-06,E,26.92,B,15.73
2026-07,W,70.16, a ,37.57
2026-01,W,25.2, a ,16.43
2026-02,E,67.95, a ,36.97
