when,zone,net_value,class_name,measure
2026-01,W,61.76, a ,38.72
2026-02,E,39.42,A,23.42
2026-03,W,,B,22.59
2026-04,E,35.3,B,15.24
2026-05,W,93.49, a ,55.77
invalid-date,E,44.75,A,29.05
2026-07,W,11.69,B,9.69
2026-01,E,60.46,B,31.71
2026-02,W,44.13, a ,25.54
2026-03,E,175,A,5.14
2026-04,W,39.34,B,23.03
2026-05,E,64.07,B,31.63
2026-06,W,66.71, a ,39.99
2026-07,E,71.7,A,33.14
2026-01,W,81.33,B,37.79
2026-02,E,8.5,B,10.07
2026-03,W,84.36, a ,45.62
2026-04,E,8.71,A,-1.44
2026-05,W,82.78,B,43.65
2026-06,E,57.95,B,31.09
2026-01,W,61.76, a ,38.72
2026-02,E,39.42, a ,23.42
