日期,地区,销售额,客群,观测值
2026-01,W,9.77, a ,-0.73
2026-02,E,27.23,A,13.48
2026-03,W,,B,25.23
2026-04,E,37.27,B,15.22
2026-05,W,25.33, a ,17.7
invalid-date,E,72.28,A,42.74
2026-07,W,25.12,B,10.8
2026-01,E,34.29,B,25.36
2026-02,W,13.56, a ,9.66
2026-03,E,170,A,28.0
2026-04,W,61.82,B,37.68
2026-05,E,33.25,B,12.14
2026-06,W,65.55, a ,32.0
2026-07,E,90.0,A,53.17
2026-01,W,73.0,B,35.86
2026-02,E,74.9,B,35.01
2026-03,W,55.18, a ,32.35
2026-04,E,13.54,A,3.55
2026-05,W,56.45,B,36.5
2026-06,E,33.81,B,17.47
2026-01,W,9.77, a ,-0.73
2026-02,E,27.23, a ,13.48
